ROLLNO,NAME,CID
162,Leopold Sworder,1
306,Zacharia Collingworth,6
597,Ingar Ainge,10
6,Stanley Pitkins,4
27,Zachary Dolder,9
215,Carney Coatman,5
157,Joshuah Souza,9
59,Blisse Dorning,3
306,Moselle Beernt,2
149,Leonid Lecordier,3
279,Hedda Shaughnessy,12
134,Boycey Sheehy,1
493,Rourke Towne,7
34,Ladonna Carn,7
478,Johnette Lacoste,6
231,Duffy Gradly,5
569,Ab Salmon,8
365,Giulio Gorton,1
528,Vallie Kiss,6
591,Feliks Gabites,11
346,Devan O'Kenny,5
535,Luz Speenden,11
331,Kym Shipton,6
413,Sadye O Mullen,12
518,Jelene Wealleans,9
89,Cyndia Oldknowe,9
585,Jean Christou,3
483,Rance Leversuch,6
58,West Foley,1
76,Farrand Stitle,2
455,Celine MacSporran,9
170,Daniele Rockhall,1
107,Orland McQuilkin,8
294,Nickolaus Suggitt,1
516,Darrin Macewan,12
395,Natalya Crocroft,8
598,Corry Warbeys,9
513,Carlene McGeorge,10
210,Catherin Reder,4
58,Winfred Cheater,2
108,Seka Estevez,7
35,Montgomery O'Scollee,2
496,Herb Jacquemard,9
131,Fawne Lister,8
399,Menard Veness,1
263,Cosimo Proctor,5
560,Melita Dobrowolski,10
107,Alwyn Ebbens,4
52,Bell Tovey,3
220,Bennie Halbard,7
24,Sam Clacson,5
264,Allister Ewert,7
370,Rivalee Stenners,9
95,Nicolette Secker,11
500,Gardiner Nowland,10
465,Glynda Gehrtz,5
111,Edgar Cranke,4
210,Inez Garton,12
187,Doro McIan,1
76,Janean Foxton,10
457,Cosmo Dewhirst,9
127,Chaddie Longdon,1
436,Berke Tantum,4
427,Garnette Feacham,10
578,Carmelina Pleass,8
228,Nadiya Joel,8
388,Mireille Nashe,9
217,Jackquelin Limpertz,7
181,Violette Kolak,2
385,Janaya Feander,9
398,Gabriella Grabb,5
353,Loralyn Smoth,10
112,Tommi Hulson,6
599,Ansell Fancett,5
352,Hildegarde Volett,4
326,Estel Purcell,4
60,Georgianne Gouch,6
471,Leola Borit,5
299,Gan Ledrane,2
207,Melisande Orteaux,9
411,Rik Ough,11
600,Suzanna Dabels,9
300,Corrie Losseljong,12
328,Bernadette Haugg,5
498,Ivie Ceaser,4
135,Diane Renhard,8
429,Boyce Nudd,2
29,Bat Ralston,12
586,Giuseppe Tucsell,2
110,Guido Jakubovits,1
285,Frasquito Lambkin,8
545,Christy Rocco,10
549,Eydie Gavriel,1
372,Mia Kemer,1
235,Sal Martinetto,11
293,Carlota Bonelle,2
501,Jill Kesten,7
71,Sam Dahlman,10
22,Traci O'Hannay,4
451,Wade Canedo,7
535,Antonino Firbanks,11
148,Zonda Haysham,12
462,Tabb Jex,3
340,Trevar Mainson,1
337,Wini Cuttler,4
49,Vallie Seaborne,2
8,Annaliese Bever,6
2,Jolene Melwall,2
499,Glenna Ludye,5
29,Vidovik Alejo,8
38,Lettie Jobin,11
595,Miriam Prugel,11
285,Tracy Birley,9
347,Estelle Frankiewicz,9
502,Joell Tonsley,10
146,Gasper Copcutt,11
144,Prisca Scouse,9
591,Tammy Gimber,4
30,Gar Beagan,3
395,Leoline Collerd,5
61,Regina Cattini,4
100,Fielding Espley,12
332,Elwyn Guiett,4
247,Marleah Dahlback,1
442,Lenora Turney,8
136,Kelbee Surfleet,11
443,Rubia Joslyn,11
263,Keefe Passby,2
292,Guinevere Jagiela,1
591,Gavrielle Clissett,3
255,Jason Fairbridge,7
474,Frank Casarino,8
323,Kellyann Oluwatoyin,11
62,Terri Paramore,7
536,Mildrid Andries,9
86,Timotheus Bowhay,5
407,Hirsch Sissot,12
90,Dilly Halleday,3
152,Mathias Dalloway,6
273,Helen-elizabeth Wayon,10
523,Alix Moss,9
48,Cornelle Ogley,6
355,Shirlee Janca,8
467,Frankie Rylands,3
437,Camella Pardoe,7
514,Chicky Hoopper,5
368,Joelly Sarge,12
591,Tomaso Castanyer,2
327,Lorri Pauly,12
330,Querida Eke,8
36,Katleen Lodwig,4
243,Niven Franciskiewicz,3
457,Porty Glasbey,4
410,Lazarus Lantiffe,2
251,Rivkah Vardey,6
284,Artair Hewson,3
180,Quincy Bysh,12
523,Joyan McLleese,9
139,Bertrando Nolda,4
235,Manda Valens-Smith,10
420,Kerrill Perrat,5
521,Cherrita Reder,8
288,Madelena Boylan,2
127,Donelle Klampk,12
149,Fabian Ferier,5
378,Loleta Core,2
12,Nettie Bowkett,12
202,Gayle Besse,1
500,Dasie McClinton,11
61,Zacharias Genner,11
410,Cthrine Umfrey,12
333,Harriet Stuckford,2
555,Ashley Alten,3
395,Richmound Haskayne,4
548,Shep Mapplethorpe,6
110,Brandi Frood,10
594,Hilda Elix,10
453,Rossie Onn,2
257,Karlotte Hayer,4
38,Abrahan Grim,9
519,Corbet Mavin,11
389,Maegan Kaman,7
365,Tiffy Gillford,8
141,Mal McGinny,1
157,Rip Newgrosh,12
427,Xenia Lie,12
472,Isador McConway,3
276,Casi Haller,8
2,Virgina Gasson,11
492,Britte Petow,3
211,Georgina Adamovsky,7
579,Batholomew Pawle,4
47,Brander Lomis,12
394,Hayward Deyes,6
45,Dotti Clemmensen,9
210,Marilee Wrotham,7
472,Cassandry Leibold,6
336,Noellyn Robson,2
550,Nathan Filipczynski,5
21,Ronnie Machen,9
105,Brock Carlino,3
433,Karleen Josephi,9
97,Homere Corpe,9
105,Wadsworth O'Nions,4
329,Chauncey Cloy,4
229,Courtenay Enright,6
111,Oswald Skermer,4
170,Michell Petraitis,9
561,Micki Debnam,10
142,Justino Barthelmes,4
307,Geraldine Domeney,6
94,Paule Desaur,5
65,Aubine Giacometti,6
524,Matelda Wrightim,9
110,Morgan Adame,8
384,Selle Woodhall,3
11,Sharity Checklin,3
549,Fulton Yantsev,2
218,Darryl Fairfoot,7
4,Jillian Goddard,11
272,Trenna Dumke,9
